CEO
Hartley Rogers
Hamilton Lane
Samsung CEOOh-Hyun Kwonwill
Brady Dougan's
Bill McNabb
Janet Levaux
Edward Lampert
Gregg Steinhafel
Joseph T. Halford
Hung-Chia Hsu
byJohn R. Graham
Campbell R. Harvey
Manju Puri
Lowell McAdam
Dan Hesse
Rob Bowman
Ev Williams
John Zimmer
FacebookTravis Kalanick
Uber Kalanick
Fritz Henderson
Ed Whitacre
Rick Wagoner
Maryann Keller
James Fassinger
Shelby Ford Mustang
Robert Stein
forClaude Dauphin
Kim Bhasin
Brady DouganCredit Suisse
Daniel Birnbaum
Matt Shattock
Gregg Steinhafelsaid
Hellas Gold
Paul Wright
Ty Warner
Jamie DimonJPMorgan Chase's
CEOLarry Page
Ron Johnsonwas
iPhones onChina Mobile's
Michael H. Magusiak
Torsten Mller-tvs
J. Hilburn
Daan Weddepohl
Eric ThayerShoppers
Andrew Komarov
Lloyd BlankfeinSome
CFO Mark Swartz
CEOSteve Ballmer
Paul Maritz
Olof Swahnberg
Simon Johnson
Eric Walsh
David Goodman
Kim Kyung-Hoon
Xi Guohua
Ben van Beurden
Kate Holton
Kim Kyung-Hoon Apple Inc.'s
Anshu Jain
Paul Galant
Mazen Dalati
Drew Houston
William Brandt
Richard Ciccarone
Leon McCarthy
Bre Pettis
Satoru Iwata
Carlos Brito
Derek Stevens
Brendan McDermidLex
William Lewis
Douglas Elliman
EstateHunter Harrison
Mitchell Eichen
Mohamed El-ErianMohamed El-ErianMohamed El-Erian
Peter Hans
Michael Diekmann
Douglas Hodge
Jay Jacobs
Managing Director
Global Head
Chris Christie
Kelly Smallridge
Al Rabil III
Andrew Liveris
Joe Weisenthal
Indra Nooyi
Enrico Letta
Paul Jacobs
John DonahoeeBay
Jay Schottenstein
Rick Caruso
Brian Moynihan's
Roger Ailes
Jack Cuneo
Lew Frankfort
Victor Luis
Bob McDonnell
Jonnie Williams Sr.
Jeremy Liew
Fred Wilson
Tyler Winklevoss
Charles Lee
Judie Rinearson
Bryan Cave
Carol Van Cleef
Cyrus R. Vance
Richard B. Zabel
Consumer Protections
Fred Ehrsam
Ed W. Felten
Susan Athey
Meryl Streep
Kevin Winter
Robin Lewis
Jarar Malik
Jeremey Allaire
Wang Fu
ExecutiveMartin Wheatleysaid
Thomas F. Prendergast
Jessica Silver-Greenberg
Keith BedfordJamie Dimon
Michel Rose
Aaron Sheldrick
James Topham
Nidhi Verma
Jane Chung
David Gregorio
Charles PlatiauChristophe de Margerie
JP Morgan CEOJamie Dimon
Roy Willis
Peter Lrssen
Friedrich Lrssen
Sheikh Khalifa
Peter Weijmarshausen
Joe Kaeser
Joe Jimenez
Brendan McDermidBill Stiritz
Charlie Shrem
Toni Weirauch
ROBERT M. FAIELLA
Christian Ulbrich
Jones Lang LaSalle
Marco Rubio
Jack Gerard
Joseph K. MooreJoseph K. MooreJoseph K. Moore
Daymond John
John Rogers
CFO Ken Goldman
Ben Reitzes
Sheryl Sandberg
CFO David Ebersman
Andy Russell
Bob Pittman
Paul Tudor Jones
Fujio Mitarai
Guillaume Deglise
Charlie Scharf
Benvan Beurdenset
Jason Lange
Anna Yukhananov
Dan Grebler
Ken Wills
Owner Zari Mansouri
Bill Murphy
Jeff Hamilton
Don Wood
Pamela Liebman
Mattel CEOBryan G. Stockton
G. Stockton
Pantheon Macroeconomics
Stephen Foley
Jamie Dimonalso
Josh Earnest
Adam Hartung
Ginni Rometty's
Gary Garrabrant
Sam Zell
Declan Kelly
Richard J. Daly
Mark Hurley
Carl O'Donnell
Frank Addante
Peter Cressy
Dina Dublon
Maria M. Klawe
Stephen J. Luczo
David F. Marquardt
Charles H. Noski
Helmut Panke
Aaron Levie
Jeremy Gaunt
Brendan McDermidFormer
fromDow Jonescame
Brian Kelley
Muhtar Kent
Brian McAndrews
Keurig Cold
Jeremy Stoppelman
Ajaypal Banga
LVMH Moet Hennessy CEO
Bernard Arnault
Adam Goldstein
Douglas Oberhelman
Ari Reichental
Mary Barra's
Elizabeth McDonald
Unlike Barra
Avi Reichental
Daniel MunozMohamed El-Erian
